# x_m,y_m
-271.625402,289.159697
-264.528768,293.251211
-258.237223,296.875766
-251.140607,300.978415
-244.029093,305.103311
-236.902681,309.194858
-229.768824,313.319770
-222.687159,317.377979
-215.687501,321.425080
-208.874211,325.383244
-202.217472,329.241349
-195.702375,333.010513
-189.351281,336.701856
-183.119464,340.348734
-177.029287,343.895550
-171.073295,347.375662
-165.273850,350.744593
-159.571319,354.013460
-153.988063,357.226741
-148.561353,360.373316
-143.253917,363.386469
-138.095573,366.332916
-133.071411,369.123703
-128.255974,371.758831
-123.626899,374.216061
-119.154368,376.495391
-114.793657,378.541225
-110.514948,380.420277
-106.303334,382.076950
-102.158812,383.555721
-98.051565,384.867708
-94.018865,385.979556
-90.045803,386.913500
-86.177103,387.591709
-82.390402,388.058657
-78.715517,388.314346
-75.033181,388.303177
-71.432844,388.069629
-67.847417,387.580344
-64.366351,386.790844
-61.026914,385.812323
-57.739658,384.566945
-54.594031,383.099187
-51.530400,381.386810
-48.563672,379.474291
-45.708756,377.372749
-43.032739,375.071065
-40.520712,372.591478
-38.180129,369.933986
-36.025900,367.065232
-34.020752,364.051932
-32.172140,360.849607
-30.442793,357.480497
-28.869983,354.011315
-27.401529,350.386467
-26.111975,346.683786
-24.986411,342.892152
-24.047201,338.967090
-23.331615,334.930838
-22.817292,330.838990
-22.586229,326.736025
-22.571336,322.588584
-22.847158,318.485621
-23.339153,314.371539
-24.047321,310.246340
-25.023842,306.132260
-26.246354,302.062659
-27.692495,298.026417
-29.377173,294.012414
-31.255664,290.054009
-33.387602,286.151201
-35.728261,282.292872
-38.277643,278.512380
-41.028292,274.809724
-43.950393,271.207143
-47.088671,267.726876
-50.361128,264.324446
-53.805038,260.999853
-57.353309,257.842051
-61.050670,254.750967
-64.889666,251.771079
-68.862841,248.924624
-72.940379,246.156008
-77.159551,243.543064
-81.497995,240.996841
-85.903530,238.506217
-90.391067,236.071193
-94.930787,233.658412
-99.530144,231.267875
-104.181687,228.843984
-108.870505,226.420098
-113.581692,223.940620
-118.330154,221.438909
-123.086077,218.837130
-127.819644,216.113043
-132.508493,213.266649
-137.152624,210.253470
-141.707311,207.062387
-146.187465,203.704518
-150.540905,200.135386
-154.812357,196.410587
-158.957094,192.530119
-162.990027,188.449507
-166.858974,184.202106
-170.601206,179.799036
-174.194361,175.229176
-177.660802,170.537004
-180.970710,165.689162
-184.153902,160.730126
-187.150743,155.626537
-189.961234,150.389513
-192.592828,145.019056
-195.090249,139.581880
-197.453500,134.000152
-199.645305,128.340585
-201.650756,122.580940
-203.447490,116.743454
-205.035505,110.794770
-206.347710,104.768243
-207.495920,98.708353
-208.435409,92.581740
-209.203450,86.366168
-209.859675,80.128355
-210.374267,73.846059
-210.814316,67.530404
-211.142549,61.181387
-211.418600,54.865726
-211.657381,48.483348
-211.888708,42.100970
-212.127491,35.674117
-212.455732,29.202790
-212.865972,22.809300
-213.440218,16.271267
-214.066643,9.877785
-214.953986,3.373122
-215.990419,-3.031463
-217.295225,-9.536110
-218.719305,-15.940680
-220.367028,-22.356360
-222.208572,-28.683079
-224.251397,-35.009789
-226.555135,-41.214178
-229.075061,-47.351842
-231.803721,-53.411663
-234.778388,-59.382519
-237.946880,-65.275531
-241.339015,-71.035103
-244.924975,-76.672354
-248.727123,-82.187283
-252.745459,-87.546532
-256.965075,-92.761220
-261.341242,-97.853587
-265.896325,-102.801394
-270.622867,-107.582402
-275.535778,-112.196611
-280.620149,-116.644019
-285.861070,-120.913509
-291.251084,-125.005081
-296.775285,-128.929853
-302.441126,-132.710064
-308.256060,-136.290117
-314.182815,-139.714490
-320.221389,-142.960944
-326.364329,-146.051718
-331.903406,-148.642159
-338.135797,-151.421580
-344.353279,-154.100922
-350.451479,-156.602359
-356.408031,-158.925892
-362.222933,-161.049283
-367.888729,-162.961414
-373.427784,-164.673404
-378.832643,-166.196371
-384.118214,-167.530316
-389.269587,-168.653002
-394.301673,-169.620024
-399.192101,-170.342430
-403.970692,-170.831338
-408.674720,-171.108983
