distance_m,velocity_kmh,lateral_acc
0.0,175.947336,-0.1583334
0.18761000002268702,175.9536,-0.1606878
0.9984399999957532,175.9806,-0.1709883
1.8119400000141468,175.999788,-0.18432990000000002
2.6294400000188034,176.007312,-0.19757340000000004
3.446939999994356,176.0148,-0.210915
4.266520000004675,176.076288,-0.22356990000000002
5.086110000003828,176.137812,-0.2363229
5.901440000016009,176.1741,-0.2489778
6.713940000016009,176.193612,-0.2645757
7.527440000005299,176.2218,-0.2800755
8.344940000009956,176.28480000000002,-0.29557530000000004
9.162440000014612,176.3478,-0.30793590000000004
9.981939999997849,176.45759999999999,-0.3202965
10.801940000004834,176.5791,-0.332559
11.621769999997923,176.6826,-0.34550820000000004
12.441359999997076,176.75910000000002,-0.3583593
13.260940000007395,176.8356,-0.3712104
14.080520000017714,176.8941,-0.3840615
14.900110000016866,176.95260000000002,-0.39691260000000006
15.719689999998081,177.0246,-0.4097637
16.5392700000084,177.1056,-0.4241844
17.359270000015385,177.174,-0.4386051
18.1809400000202,177.192,-0.4531239
19.00260999999591,177.21,-0.46685790000000005
19.828269999998156,177.262812,-0.48069000000000006
20.654940000007628,177.3243,-0.4945221000000001
21.478770000016084,177.396012,-0.5080599
22.298360000015236,177.482988,-0.5215977
23.11793999999645,177.57000000000002,-0.5350374
23.939610000001267,177.652512,-0.5430816
24.761270000017248,177.734988,-0.5510277
25.5871900000202,177.8013,-0.5590719000000001
26.41594000000623,177.85681200000002,-0.5663313
27.242859999998473,177.900912,-0.5734926
28.06244000000879,177.8994,-0.580752
28.88202000001911,177.897888,-0.5826159
29.710610000009183,177.9948,-0.5843817
30.541440000000875,178.11630000000002,-0.5862456
31.371440000017174,178.234812,-0.5899734
32.200190000003204,178.348788,-0.5937012
33.02894000001834,178.46280000000002,-0.5974290000000001
33.85769000000437,178.477812,-0.5946822
34.6864400000195,178.49278800000002,-0.5918373
35.510940000007395,178.51590000000002,-0.5890905000000001
36.33261000001221,178.544412,-0.5815368000000001
37.15611000001081,178.587288,-0.5739831000000001
37.986940000002505,178.6878,-0.5664294
38.8177699999942,178.78831200000002,-0.5593662
39.64827000000514,178.881588,-0.5524011
40.478690000018105,178.97310000000002,-0.5453379
41.30844000002253,179.038188,-0.5357241
42.13719000000856,179.063712,-0.5262084
42.96593999999459,179.0892,-0.5165946
43.796770000015385,179.15371199999998,-0.5085504
44.62760999999591,179.218188,-0.5005062
45.45844000001671,179.2917,-0.49246200000000007
46.2892700000084,179.37118800000002,-0.4827501
47.12011000001803,179.439912,-0.4730382
47.95094000000972,179.46540000000002,-0.4633263
48.781770000001416,179.490888,-0.45302580000000003
49.61394000001019,179.534412,-0.44272530000000004
50.44643999999971,179.5824,-0.4323267
51.28111000001081,179.6652,-0.4223205
52.119020000012824,179.8002,-0.41221620000000003
52.95694000000367,179.9352,-0.40221
53.78776999999536,179.8947,-0.39328290000000005
54.61861000000499,179.8542,-0.3843558
55.449439999996684,179.94240000000002,-0.37533060000000007
56.28027000001748,180.116388,-0.36709020000000003
57.11251999999513,180.277812,-0.35884980000000005
57.95044000001508,180.3888,-0.35051129999999997
58.78836000000592,180.499788,-0.3414861
59.62361000000965,180.571212,-0.33246090000000006
60.458190000004834,180.6327,-0.32333760000000006
61.2949400000216,180.6516,-0.3134295
62.134940000018105,180.60660000000001,-0.3034233
62.97494000001461,180.5616,-0.2935152
63.81286000000546,180.5976,-0.2850786
64.65077000000747,180.6336,-0.2765439
65.48569000000134,180.6678,-0.2681073
66.31861000001663,180.700812,-0.2566296
67.15286000000197,180.7416,-0.2451519
67.9924400000018,180.8136,-0.23357610000000004
68.83202000000165,180.8856,-0.2208231
69.67194000000018,180.991188,-0.20797200000000002
70.51193999999668,181.10520000000002,-0.1951209
71.35276999999769,181.208412,-0.18138690000000002
72.1948600000178,181.295388,-0.167751
73.03694000001997,181.38240000000002,-0.154017
73.87652000001981,181.4949,-0.1423431
74.71611000000848,181.6074,-0.1306692
75.56019000001834,181.6668,-0.11899530000000001
76.40726999999606,181.690812,-0.1075176
77.25294000000576,181.716012,-0.09603990000000001
78.09294000000227,181.746,-0.08456219999999999
78.93293999999878,181.775988,-0.0737712
79.77293999999529,181.824012,-0.0628821
80.6129400000209,181.87650000000002,-0.0520911
81.45360999999684,181.944612,-0.0462051
82.29527000000235,182.036088,-0.04022100000000001
83.13693999999668,182.1276,-0.034335000000000004
83.98402000000351,182.183112,-0.027369900000000003
84.83110999999917,182.23858800000002,-0.0205029
85.67944000000716,182.2932,-0.013537800000000001
86.52861000000848,182.34720000000002,-0.0114777
87.3758600000001,182.39281200000002,-0.0094176
88.21543999999994,182.4048,-0.0072594
89.05501999999979,182.416788,-0.0036297
89.90061000001151,182.44558800000001,9.810000000000001e-05
90.74769000001834,182.4786,0.0037278000000000003
91.5956100000185,182.557188,0.0017658
92.44477000000188,182.704212,-0.00019620000000000003
93.2939400000032,182.8512,-0.0022563
94.13560999999754,183.007188,-0.0032373000000000002
94.97727000000305,183.16321200000002,-0.004316400000000001
95.82644000000437,183.24900000000002,-0.005297400000000001
96.68061000001035,183.287988,-0.005886
97.5337700000091,183.3102,-0.0064746000000000005
98.38294000001042,183.2652,-0.0071613
99.23211000001174,183.2202,-0.007455600000000001
100.07361000002129,183.1968,-0.007848
100.91319000002113,183.17880000000002,-0.0082404
101.75943999999436,183.1716,-0.007455600000000001
102.615690000006,183.1806,-0.006670800000000001
103.47194000001764,183.1896,-0.0057879
104.31901999999536,183.336588,-0.005003100000000001
105.16611000002013,183.483612,-0.0042183
