# x_m,y_m
529.454716,-186.631022
532.015627,-185.378915
534.573895,-184.077008
537.128990,-182.725089
539.681133,-181.325352
542.229003,-179.870983
544.770093,-178.363918
547.305811,-176.806779
549.835100,-175.197600
552.358006,-173.537310
554.874923,-171.828701
557.386073,-170.073784
559.890574,-168.271081
562.387196,-166.420363
564.874134,-164.518977
567.349408,-162.563188
569.811743,-160.552935
572.259511,-158.485641
574.690467,-156.357677
577.103029,-154.169517
579.495744,-151.921892
581.868304,-149.616007
584.220975,-147.253448
586.553666,-144.834565
588.863652,-142.352025
591.150667,-139.815250
593.418673,-137.227656
595.667140,-134.588999
597.897917,-131.903762
600.111092,-129.172599
602.308777,-126.400345
604.492379,-123.590019
606.663131,-120.742626
608.822045,-117.861384
610.970132,-114.948038
613.108844,-112.004723
615.239326,-109.033750
617.363909,-106.037793
619.483341,-103.016525
621.596038,-99.967979
623.703320,-96.899130
625.807343,-93.807448
627.907314,-90.693245
630.004422,-87.558412
632.100823,-84.406013
634.198848,-81.239852
636.302325,-78.062681
638.412749,-74.878869
640.530165,-71.688102
642.655629,-68.491265
644.789668,-65.287352
646.931710,-62.077346
649.081669,-58.863267
651.242974,-55.646949
653.416638,-52.432455
655.607061,-49.222361
657.817587,-46.023098
660.044651,-42.834856
662.293709,-39.657910
664.563486,-36.493029
666.850593,-33.336209
669.154591,-30.187436
671.475832,-27.046361
673.813919,-23.913819
676.170041,-20.791474
678.546265,-17.683015
680.945012,-14.592960
683.364083,-11.535613
685.774272,-8.541718
688.150068,-5.630790
690.490064,-2.805100
692.796282,-0.066584
695.065864,2.594091
697.288163,5.176683
699.453634,7.684590
701.557437,10.121030
705.578767,14.785629
707.491102,17.014786
709.334907,19.179442
711.115724,21.294937
712.833154,23.371121
714.484956,25.413102
716.073722,27.431300
717.601210,29.443052
719.074326,31.463660
720.491088,33.508657
721.856510,35.592551
723.166719,37.719963
724.419340,39.890642
725.609359,42.110846
726.740250,44.377805
727.812277,46.689851
728.822186,49.048114
729.760299,51.452756
730.630488,53.893070
731.436008,56.365032
732.171670,58.870514
732.837384,61.403934
733.423299,63.965741
733.925808,66.552669
734.343942,69.163154
734.681222,71.793383
734.946973,74.440719
735.141548,77.104301
735.264068,79.779982
735.315764,82.464163
735.307018,85.158195
735.249971,87.866867
735.150517,90.587953
735.024844,93.325359
734.912629,96.083343
734.843609,98.858966
734.836613,101.643538
734.896920,104.425175
735.021892,107.195765
735.205282,109.959195
735.439084,112.715007
735.731744,115.457712
736.085461,118.185299
736.502877,120.889488
736.985400,123.558843
737.537341,126.189455
738.156763,128.788450
738.851146,131.351348
739.619874,133.871889
740.455117,136.350796
741.351948,138.790310
742.307728,141.188755
743.323512,143.539954
744.397630,145.841590
745.530962,148.092610
746.721045,150.291948
747.967702,152.431233
749.266536,154.508314
750.615876,156.522931
752.014048,158.475862
753.454631,160.376942
754.939912,162.220376
756.471035,163.999226
758.047738,165.705748
759.666765,167.339285
761.328117,168.897687
763.031354,170.383348
764.779114,171.798114
766.570606,173.143646
768.404071,174.417550
770.276869,175.621107
772.186272,176.756283
774.128938,177.826601
776.103898,178.831831
778.113969,179.763069
780.157128,180.613774
782.229065,181.385913
784.329250,182.080857
786.453901,182.703043
788.599322,183.267352
790.769294,183.771971
792.961355,184.224645
795.173654,184.638456
797.403286,185.039980
799.647433,185.456434
801.902659,185.908295
804.167206,186.408370
806.439047,186.959725
808.717303,187.569526
811.000655,188.238686
813.289013,188.964524
815.582027,189.743516
817.879081,190.576348
820.178855,191.466146
822.480819,192.419116
824.782598,193.444696
827.081728,194.538022
829.378650,195.694030
831.674509,196.907615
833.968249,198.170373
836.256353,199.468627
838.507768,200.779595
840.694521,202.081025
842.802361,203.358949
844.833401,204.606933
846.788433,205.820494
848.671153,206.996659
850.481736,208.130473
852.221592,209.217026
853.891777,210.252827
855.492995,211.236778
857.031140,212.168940
858.512459,213.046325
859.946893,213.867594
861.339635,214.626723
862.699569,215.319019
864.043061,215.948035
865.377673,216.519903
866.706047,217.037107
868.030732,217.498352
869.355073,217.902298
870.681446,218.244064
872.011258,218.518299
873.346798,218.720445
874.688243,218.844082
876.033042,218.885841
877.377588,218.841466
878.714933,218.705041
880.034079,218.475512
881.327549,218.150087
882.590592,217.728676
883.817578,217.210514
885.003843,216.599824
886.146308,215.901440
887.239870,215.117373
888.284089,214.252625
889.281339,213.307501
890.231270,212.282367
891.131240,211.181019
891.978346,210.007939
892.769245,208.767121
893.502088,207.464513
894.174500,206.104551
894.785248,204.691046
895.334155,203.226316
895.821046,201.710148
896.250936,200.141123
896.629103,198.518390
896.956251,196.844647
897.235458,195.124789
897.470859,193.360997
897.661046,191.553666
897.793791,189.704138
897.864956,187.820828
897.872782,185.905367
897.820789,183.958610
897.709679,181.984080
897.543850,179.985222
897.326382,177.964218
897.062991,175.942307
896.758160,173.937149
896.419368,171.937154
896.043543,169.907941
895.629009,167.862224
895.173040,165.806484
894.675722,163.742337
894.134856,161.672024
893.551762,159.596368
892.927142,157.515813
892.264341,155.429977
891.564326,153.338022
890.829825,151.239765
890.059869,149.135770
889.255338,147.027898
888.416671,144.916361
887.545190,142.799850
886.643620,140.677190
885.713107,138.546659
884.756992,136.407281
883.775453,134.258476
882.768929,132.100565
881.737331,129.934090
880.679957,127.759538
879.597070,125.577755
878.487877,123.389832
877.351675,121.196683
876.189256,118.999254
874.999035,116.797736
873.781102,114.594033
872.536598,112.387300
871.266053,110.177141
869.970346,107.962466
868.650004,105.743892
867.304061,103.522875
865.931547,101.301032
864.531496,99.080779
863.102410,96.864258
861.644818,94.652491
860.156959,92.447383
858.637339,90.251657
857.087363,88.065113
855.507298,85.886754
853.898725,83.715657
852.263757,81.550229
850.603362,79.388573
848.918507,77.229490
847.210602,75.071724
845.479644,72.914862
843.725195,70.759248
841.948222,68.605675
840.148638,66.454493
838.326617,64.306180
836.481896,62.161104
834.614476,60.019937
832.725235,57.882957
830.814789,55.749401
828.883139,53.618680
826.931252,51.490381
824.962120,49.366784
822.983572,47.255393
820.998421,45.161139
818.999192,43.073597
816.979639,40.986164
814.940553,38.900844
812.882813,36.819015
810.806069,34.741251
808.710759,32.667313
806.597852,30.594587
804.469019,28.519264
802.327782,26.437106
800.175371,24.343277
798.013722,22.234186
795.844860,20.107976
793.669313,17.962924
791.489016,15.795693
789.306081,13.601236
787.122973,11.375598
784.940923,9.120340
782.759226,6.833695
780.579380,4.514224
778.402439,2.161249
776.229900,-0.228089
774.065195,-2.658510
771.911226,-5.132727
769.770810,-7.653711
767.646323,-10.227271
765.540139,-12.849411
763.452259,-15.521562
761.387875,-18.250441
759.348745,-21.035498
757.338214,-23.880494
755.358745,-26.786543
753.412098,-29.753356
751.499767,-32.780501
749.621490,-35.864658
745.968325,-42.201890
744.194844,-45.453410
742.455945,-48.757815
740.753737,-52.115895
739.079597,-55.517568
737.434495,-58.963893
735.815789,-62.451639
734.223128,-65.979769
732.655896,-69.547356
731.111365,-73.151634
729.587424,-76.790887
728.080905,-80.461936
726.588816,-84.161961
725.107549,-87.889034
723.635171,-91.643323
722.171107,-95.420223
720.712586,-99.217751
719.257718,-103.038653
717.806105,-106.879102
716.358276,-110.738991
714.913702,-114.619662
713.471901,-118.521320
712.034763,-122.440894
710.601760,-126.379640
709.171617,-130.341981
707.745258,-134.323000
706.320835,-138.318976
704.892936,-142.331542
703.460725,-146.354933
702.033438,-150.361994
700.629369,-154.296641
699.256785,-158.136460
697.916743,-161.877958
696.612759,-165.513391
695.343693,-169.045380
694.108442,-172.471211
692.906393,-175.796695
691.736885,-179.025307
690.592223,-182.166975
689.454722,-185.245791
688.305736,-188.287237
687.129867,-191.305219
685.916559,-194.297421
684.660443,-197.260123
683.356065,-200.188858
681.997396,-203.076034
680.584612,-205.915994
679.122466,-208.715140
677.601277,-211.469373
676.019286,-214.168050
674.382475,-216.811489
672.692736,-219.400180
670.950333,-221.930645
