# x_m,y_m
-671.384809,-55.812362
-670.737788,-50.865029
-669.958329,-45.938624
-669.048015,-41.035977
-668.008428,-36.159922
-666.841149,-31.313288
-665.547762,-26.498909
-664.129849,-21.719615
-662.588991,-16.978238
-660.926771,-12.277611
-659.144771,-7.620564
-657.244573,-3.009929
-655.227760,1.551462
-653.095914,6.060777
-650.850617,10.515185
-648.493450,14.911855
-646.025998,19.247953
-643.449840,23.520650
-640.766561,27.727112
-637.977742,31.864509
-635.084964,35.930009
-632.089812,39.920780
-628.993866,43.833991
-625.798708,47.666809
-622.505922,51.416404
-619.117090,55.079943
-615.633792,58.654595
-612.057613,62.137528
-608.390133,65.525910
-604.632936,68.816911
-600.787619,72.007724
-596.858558,75.100067
-592.855981,78.105189
-588.790858,81.035552
-584.674162,83.903614
-580.516863,86.721837
-576.329933,89.502681
-572.124342,92.258606
-567.911063,95.002071
-563.701065,97.745539
-559.505295,100.501438
-555.330521,103.277525
-551.174806,106.071806
-547.035124,108.881067
-542.908445,111.702093
-538.791744,114.531670
-534.681994,117.366584
-530.576166,120.203622
-526.471234,123.039569
-522.364181,125.871221
-518.252957,128.696436
-514.137313,131.515039
-510.017193,134.327068
-505.892540,137.132561
-501.763299,139.931557
-497.629414,142.724092
-493.490828,145.510207
-489.347487,148.289938
-485.199333,151.063323
-481.046311,153.830401
-476.888366,156.591211
-472.725441,159.345789
-468.557480,162.094174
-464.384427,164.836404
-460.206227,167.572517
-456.022823,170.302552
-451.834160,173.026547
-447.640183,175.744539
-443.440927,178.456617
-439.236595,181.162958
-435.027407,183.863750
-430.813585,186.559179
-426.595347,189.249432
-422.372915,191.934696
-418.146508,194.615158
-413.916346,197.291006
-409.682650,199.962426
-405.445641,202.629604
-401.205538,205.292730
-396.962561,207.951988
-392.716932,210.607567
-388.468869,213.259652
-384.218594,215.908432
-379.966327,218.554093
-375.712287,221.196823
-371.456695,223.836807
-367.199772,226.474234
-362.941737,229.109289
-358.682811,231.742161
-354.423214,234.373036
-350.163166,237.002102
-345.902887,239.629544
-341.642599,242.255550
-337.382520,244.880308
-333.122872,247.504004
-328.863874,250.126825
-324.605747,252.748958
-320.348711,255.370590
-316.092985,257.991909
-311.838792,260.613100
-307.586350,263.234352
-303.335880,265.855850
-299.087602,268.477783
-294.841736,271.100337
-290.598501,273.723698
-286.357919,276.347946
-282.119666,278.972973
-277.883382,281.598652
-273.648708,284.224857
-269.415285,286.851462
-265.182753,289.478338
-260.950753,292.105360
-256.718924,294.732400
-252.486909,297.359332
-248.254347,299.986029
-244.020878,302.612365
-239.786144,305.238212
-235.549784,307.863443
-231.311440,310.487933
-227.070752,313.111553
-222.827361,315.734178
-218.580906,318.355680
-214.331029,320.975934
-210.077370,323.594811
-205.819570,326.212185
-201.557269,328.827930
-197.290108,331.441918
-193.017727,334.054023
-188.739766,336.664118
-184.455867,339.272077
-180.165670,341.877772
-175.868815,344.481077
-171.564944,347.081864
-167.253695,349.680008
-162.934711,352.275381
-158.607631,354.867857
-154.272097,357.457308
-149.927748,360.043609
-145.574225,362.626631
-141.211169,365.206249
-136.838220,367.782336
-132.454998,370.354524
-128.059497,372.902994
-123.646911,375.374485
-119.212156,377.712438
