# x_m,y_m
-685.342232,-137.355072
-685.858267,-132.384417
-686.234612,-127.394296
-686.471911,-122.389042
-686.570810,-117.372991
-686.531955,-112.350476
-686.355991,-107.325833
-686.043563,-102.303396
-685.595318,-97.287500
-685.011900,-92.282479
-684.293955,-87.292668
-683.442129,-82.322401
-682.457071,-77.376013
-681.339669,-72.457783
-680.091139,-67.571919
-678.712722,-62.722622
-677.205660,-57.914093
-675.571194,-53.150533
-673.810566,-48.436144
-671.925018,-43.775126
-669.915791,-39.171681
-667.784127,-34.630010
-665.531267,-30.154314
-663.158452,-25.748794
-660.666925,-21.417652
-658.057927,-17.165089
-655.332700,-12.995306
-652.492484,-8.912504
-649.538522,-4.920884
-646.472056,-1.024648
-643.294377,2.772103
-640.008824,6.469220
-636.621413,10.071737
-633.138341,13.585037
-629.565807,17.014503
-625.910010,20.365520
-622.177145,23.643471
-618.373413,26.853740
-614.505010,30.001711
-610.578134,33.092767
-606.598984,36.132293
-602.573758,39.125672
-598.508653,42.078287
-594.409867,44.995523
-590.283598,47.882763
-586.136044,50.745391
-581.973404,53.588791
-577.801875,56.418346
-573.627654,59.239441
-569.456855,62.057387
-565.292627,64.875040
-561.134490,67.692242
-556.981741,70.508651
-552.833677,73.323925
-548.689596,76.137722
-544.548795,78.949699
-540.410571,81.759516
-536.274222,84.566829
-532.139043,87.371296
-528.004334,90.172576
-523.869390,92.970325
-519.733509,95.764203
-515.595989,98.553867
-511.456126,101.338975
-507.313217,104.119185
-503.166561,106.894154
-499.015454,109.663541
-494.859206,112.427011
-490.697518,115.184462
-486.530543,117.936061
-482.358462,120.681988
-478.181453,123.422427
-473.999696,126.157558
-469.813369,128.887564
-465.622651,131.612625
-461.427722,134.332925
-457.228761,137.048645
-453.025948,139.759965
-448.819460,142.467069
-444.609478,145.170138
-440.396180,147.869353
-436.179746,150.564897
-431.960355,153.256951
-427.738186,155.945696
-423.513418,158.631316
-419.286230,161.313990
-415.056801,163.993901
-410.825311,166.671232
-406.591939,169.346162
-402.356864,172.018875
-398.120264,174.689552
-393.882320,177.358375
-389.643210,180.025525
-385.403113,182.691184
-381.162210,185.355534
-376.920677,188.018757
-372.678696,190.681034
-368.436445,193.342548
-364.194103,196.003479
-359.951849,198.664010
-355.709862,201.324322
-351.468323,203.984597
-347.227409,206.645017
-342.987300,209.305764
-338.748170,211.967014
-334.510068,214.628825
-330.272917,217.291133
-326.036631,219.953867
-321.801126,222.616956
-317.566318,225.280330
-313.332121,227.943919
-309.098452,230.607652
-304.865226,233.271458
-300.632359,235.935268
-296.399766,238.599010
-292.167362,241.262614
-287.935064,243.926011
-283.702786,246.589128
-279.470444,249.251896
-275.237953,251.914245
-271.005230,254.576103
-266.772189,257.237401
-262.538747,259.898068
-258.304818,262.558033
-254.070318,265.217226
-249.835162,267.875577
-245.599267,270.533015
-241.362548,273.189469
-237.124919,275.844870
-232.886298,278.499146
-228.646598,281.152227
-224.405736,283.804043
-220.163627,286.454523
-215.920187,289.103597
-211.675331,291.751194
-207.428975,294.397244
-203.181034,297.041677
-198.931424,299.684421
-194.680060,302.325407
-190.426857,304.964563
-186.171732,307.601821
-181.914577,310.237079
-177.654827,312.869661
-173.391501,315.498363
-169.123601,318.121960
-164.850129,320.739226
-160.570087,323.348936
-156.282477,325.949867
-151.986302,328.540792
-147.680563,331.120487
-143.364264,333.687727
-139.035526,336.237867
-134.675966,338.702013
-130.252521,340.954157
-125.732562,342.867476
-121.100879,344.336948
-116.359136,345.279902
-111.537548,345.672071
-106.690854,345.539732
-101.874623,344.910862
-97.143002,343.813417
-92.528504,342.274940
-88.046792,340.322658
-83.713087,337.983789
-79.542607,335.285550
-75.550570,332.255159
-71.752197,328.919834
-68.162705,325.306793
-64.797314,321.443253
-61.671584,317.356418
-58.805858,313.073282
-56.224010,308.620686
-53.949994,304.025468
-52.007766,299.314466
-50.421281,294.514518
-49.214493,289.652460
-48.411359,284.755131
-48.035833,279.849368
-48.109855,274.961804
-48.629776,270.116458
-49.574356,265.335555
-50.922006,260.641284
-52.651137,256.055835
-54.740163,251.601397
-57.167494,247.300158
-59.911543,243.174308
-62.950722,239.246037
-66.263442,235.537533
-69.827307,232.068010
-73.610525,228.822102
-77.575245,225.762150
-81.683516,222.850123
-85.897387,220.047990
-90.178907,217.317720
-94.490125,214.621282
-98.793089,211.920645
-103.049849,209.177778
-107.225368,206.357572
-111.316807,203.457193
-115.341319,200.493848
-119.316359,197.485044
-123.259380,194.448289
-127.187838,191.401092
-131.119185,188.360960
-135.070876,185.345401
-139.060364,182.371923
-143.103348,179.456121
-147.196851,176.593265
-151.326636,173.766365
-155.478311,170.958262
-159.637482,168.151798
-163.789759,165.329814
-167.920746,162.475151
-172.016053,159.570650
-176.061287,156.599153
-180.042104,153.544154
-183.944682,150.395844
-187.755499,147.148333
-191.461038,143.795781
-195.047782,140.332348
-198.502213,136.752194
-201.810815,133.049479
-204.960070,129.218363
-207.936461,125.253006
-210.726472,121.147568
-213.318025,116.897613
-215.712834,112.512126
-217.920273,108.007552
-219.949796,103.400415
-221.810861,98.707240
-223.512923,93.944551
-225.065439,89.128873
-226.477864,84.276730
-227.759655,79.404648
-228.920009,74.527967
-229.965777,69.651238
-230.902548,64.773239
-231.735904,59.892693
-232.471423,55.008322
-233.114685,50.118849
-233.671270,45.222998
-234.146758,40.319490
-234.546727,35.407050
-234.876759,30.484399
-235.142432,25.550261
-235.349326,20.603359
-235.503021,15.642415
-235.609097,10.666152
-235.673132,5.673294
-235.700708,0.662562
-235.697403,-4.367319
-235.668797,-9.417628
-235.620921,-14.489174
-235.563615,-19.578827
-235.508627,-24.681481
-235.467717,-29.792019
-235.452649,-34.905319
-235.475184,-40.016262
-235.547085,-45.119729
-235.680113,-50.210599
-235.886031,-55.283753
-236.176600,-60.334072
-236.563583,-65.356435
-237.058741,-70.345723
-237.673838,-75.296816
-238.420633,-80.204596
-239.310891,-85.063940
-240.356373,-89.869732
-241.568840,-94.616849
-242.960055,-99.300174
-244.541781,-103.914585
-246.324109,-108.455330
-248.304212,-112.920487
-250.473237,-117.309456
-252.822296,-121.621643
-255.342501,-125.856455
-258.024964,-130.013300
-260.860799,-134.091584
-263.841116,-138.090715
-266.957029,-142.010100
-270.199650,-145.849144
-273.560091,-149.607257
-277.029465,-153.283844
-280.598883,-156.878312
-284.259458,-160.390070
-288.002303,-163.818522
-291.818529,-167.163077
-295.699249,-170.423142
-299.635576,-173.598124
-303.619371,-176.687622
-307.647750,-179.692598
-311.720082,-182.614592
-315.835741,-185.455147
-319.994104,-188.215808
-324.194546,-190.898118
-328.436442,-193.503620
-332.719168,-196.033858
-337.042100,-198.490375
-341.404613,-200.874716
-345.806083,-203.188423
-350.245885,-205.433040
-354.723396,-207.610111
-359.237991,-209.721179
-363.789044,-211.767788
-368.375933,-213.751481
-372.998033,-215.673801
-377.654718,-217.536294
-382.345365,-219.340501
-387.069268,-221.084156
-391.825187,-222.740261
-396.611670,-224.271949
-401.427267,-225.642322
-406.270524,-226.814488
-411.139990,-227.751549
-416.034212,-228.416613
-420.951739,-228.772783
-425.891119,-228.783165
-430.847902,-228.416202
-435.799027,-227.673504
-440.714296,-226.569392
-445.563498,-225.118215
-450.316421,-223.334319
-454.942853,-221.232054
-459.412581,-218.825766
-463.695394,-216.129806
-467.761081,-213.158519
-471.581788,-209.926439
-475.143452,-206.449169
-478.436997,-202.742703
-481.453356,-198.823036
-484.183461,-194.706159
-486.618243,-190.408068
-488.748636,-185.944755
-490.565571,-181.332215
-492.059980,-176.586441
-493.222795,-171.723426
-494.045936,-166.761307
-494.526685,-161.729859
-494.664141,-156.662797
-494.457403,-151.593840
-493.905570,-146.556706
-493.007743,-141.585112
-491.763019,-136.712777
-490.170500,-131.973419
-488.229284,-127.400756
-485.941613,-123.024437
-483.325495,-118.853695
-480.403870,-114.891371
-477.199684,-111.140305
-473.735881,-107.603336
-470.035404,-104.283303
-466.121198,-101.183047
-462.016206,-98.305405
-457.743373,-95.653218
-453.325642,-93.229325
-448.786938,-91.028684
-444.155768,-89.009337
-439.461986,-87.118525
-434.735443,-85.303491
-430.005991,-83.511475
-425.303480,-81.689720
-420.657764,-79.785466
-416.098693,-77.745955
-411.656120,-75.518429
-407.356429,-73.059344
-403.210386,-70.366668
-399.224366,-67.450054
-395.404739,-64.319151
-391.757877,-60.983612
-388.290152,-57.453088
-385.007937,-53.737230
-381.917603,-49.845690
-379.025522,-45.788120
-376.338067,-41.574170
-373.855823,-37.215998
-371.555121,-32.736267
-369.405936,-28.160389
-367.378240,-23.513780
-365.442008,-18.821855
-363.567214,-14.110027
-361.723832,-9.403713
-359.881836,-4.728325
-358.011200,-0.109280
-356.089302,4.436398
-354.123564,8.925716
-352.129024,13.384309
-350.120720,17.837815
-348.113689,22.311868
-346.122970,26.832107
-344.163600,31.424165
-342.250619,36.113681
-340.399063,40.926290
-338.635914,45.874241
-337.035052,50.917222
-335.681860,56.002024
-334.661723,61.075436
-334.060028,66.084250
-333.962157,70.975256
-334.453498,75.695245
-335.619434,80.191006
-337.545347,84.409329
-340.272977,88.285565
-343.693535,91.715609
-347.665799,94.586857
-352.048546,96.786701
-356.700557,98.202548
-361.496176,98.767172
-366.360999,98.562779
-371.231161,97.702290
-376.042795,96.298630
-380.732041,94.464717
-385.253028,92.298755
-389.616970,89.852255
-393.846388,87.167480
-397.963800,84.286696
-401.991725,81.252167
-405.952681,78.106158
-409.869188,74.890932
-413.763764,71.648756
-417.658926,68.421888
-421.571963,65.242418
-425.504153,62.111277
-429.453713,59.023443
-433.418860,55.973894
-437.397814,52.957609
-441.388791,49.969565
-445.390010,47.004742
-449.399689,44.058118
-453.416045,41.124672
-457.437297,38.199381
-461.461662,35.277225
-465.487360,32.353182
-469.512606,29.422230
-473.535620,26.479347
-477.554619,23.519513
-481.567822,20.537706
-485.573446,17.528904
-489.569710,14.488088
-493.555659,11.413244
-497.532718,8.310992
-501.502736,5.189499
-505.467559,2.056930
-509.429038,-1.078550
-513.389021,-4.208775
-517.349357,-7.325581
-521.311894,-10.420802
-525.278481,-13.486272
-529.250961,-16.513837
-533.226855,-19.503136
-537.191685,-22.475449
-541.128907,-25.455787
-545.021974,-28.469158
-548.854343,-31.540570
-552.609468,-34.695032
-556.270805,-37.957554
-559.821809,-41.353142
-563.245939,-44.906793
-566.529373,-48.634604
-569.665590,-52.528765
-572.649287,-56.577490
-575.475158,-60.768994
-578.137898,-65.091489
-580.632203,-69.533191
-582.952768,-74.082312
-585.094288,-78.727067
-587.051458,-83.455670
-588.818973,-88.256335
-590.391529,-93.117275
-591.763821,-98.026705
-592.930544,-102.972838
-593.886392,-107.943888
-594.626062,-112.928070
-595.144249,-117.913597
-595.435647,-122.888683
-595.494963,-127.841550
-595.320807,-132.763309
-594.921376,-137.652158
-594.306309,-142.507365
-593.485246,-147.328200
-592.467829,-152.113929
-591.263698,-156.863821
-589.882493,-161.577144
-588.333854,-166.253166
-586.627422,-170.891155
-584.772838,-175.490380
-582.779741,-180.050108
-580.657773,-184.569607
-578.416573,-189.048146
-576.065782,-193.484992
-573.615041,-197.879414
-571.073989,-202.230680
-568.452268,-206.538058
-565.759518,-210.800815
-563.005371,-215.018225
-560.197619,-219.190486
-557.339848,-223.319917
-554.435058,-227.409130
-551.486251,-231.460739
-548.496428,-235.477357
-545.468590,-239.461596
-542.405737,-243.416068
-539.310871,-247.343388
-536.186993,-251.246168
-533.037104,-255.127020
-529.864205,-258.988558
-526.671296,-262.833394
-523.461380,-266.664142
-520.237457,-270.483413
-517.002527,-274.293822
-513.759592,-278.097981
-510.511654,-281.898502
-507.261707,-285.697995
-504.011862,-289.498283
-500.762328,-293.299512
-497.513072,-297.101612
-494.264057,-300.904511
-491.015251,-304.708138
-487.766618,-308.512423
-484.518124,-312.317294
-481.269735,-316.122680
-478.021415,-319.928512
-474.773130,-323.734717
-471.524846,-327.541224
-468.276528,-331.347964
-465.028141,-335.154864
-461.779652,-338.961855
-458.531024,-342.768864
-455.282225,-346.575821
-452.033220,-350.382656
-448.783973,-354.189296
-445.534450,-357.995672
-442.284617,-361.801712
-439.034439,-365.607346
-435.783882,-369.412501
-432.532910,-373.217109
-429.281491,-377.021097
-426.029588,-380.824394
-422.777168,-384.626931
-419.524195,-388.428634
-416.270636,-392.229435
-413.016456,-396.029262
-409.761620,-399.828043
-406.506093,-403.625709
-403.249842,-407.422187
-399.992831,-411.217408
-396.735027,-415.011300
-393.476393,-418.803792
-390.216897,-422.594813
-386.956482,-426.384276
-383.692705,-430.170298
-380.418611,-433.947596
-377.126743,-437.710509
-373.809642,-441.453377
-370.459851,-445.170540
-367.069912,-448.856336
-363.632367,-452.505106
-360.139757,-456.111188
-356.584626,-459.668923
-352.959407,-463.172277
-349.245887,-466.578567
-345.406365,-469.778030
-341.401059,-472.653741
-337.190188,-475.088773
-332.734465,-476.966531
-328.038089,-478.199495
-323.181985,-478.751449
-318.254906,-478.591406
-313.345560,-477.688854
-308.539094,-476.052159
-303.914490,-473.756988
-299.550114,-470.885703
-295.524335,-467.520668
-291.915521,-463.744246
-288.802038,-459.638799
-286.262254,-455.286691
-284.374537,-450.770285
-283.216236,-446.171479
-282.801408,-441.543256
-283.044757,-436.893212
-283.852291,-432.224969
-285.130017,-427.542149
-286.783942,-422.848374
-288.720075,-418.147267
-290.844423,-413.442451
-293.062993,-408.737547
-295.282209,-404.036120
-297.430224,-399.338648
-299.467162,-394.641073
-301.355702,-389.938976
-303.058528,-385.227936
-304.538321,-380.503530
-305.757761,-375.761340
-306.679531,-370.996943
-307.266312,-366.205920
-307.480785,-361.383848
-307.286126,-356.526686
-306.667886,-351.647457
-305.642642,-346.782854
-304.229253,-341.971313
-302.446582,-337.251270
-300.313488,-332.661161
-297.848831,-328.239420
-295.071474,-324.024483
-292.000276,-320.054786
-288.654173,-316.368072
-285.055095,-312.974255
-281.228921,-309.846539
-277.201803,-306.955615
-272.999891,-304.272178
-268.649335,-301.766921
-264.176286,-299.410537
-259.606894,-297.173720
-254.967310,-295.027163
-250.283685,-292.941559
-245.582168,-290.887601
-240.888910,-288.835984
-236.230062,-286.757399
-231.631774,-284.622541
-227.120197,-282.402103
-222.721481,-280.066777
-218.461776,-277.587259
-214.367233,-274.934240
-210.463520,-272.078956
-206.759970,-269.010964
-203.246020,-265.742139
-199.909903,-262.285707
-196.739854,-258.654895
-193.724103,-254.862927
-190.850885,-250.923031
-188.108431,-246.848433
-185.484976,-242.652359
-182.968752,-238.348035
-180.547991,-233.948687
-178.210927,-229.467542
-175.945792,-224.917825
-173.740821,-220.312762
-171.584244,-215.665581
-169.464296,-210.989507
-167.369208,-206.297765
-165.287215,-201.603584
-163.206549,-196.920188
-161.115636,-192.260570
-159.008569,-187.630897
-156.885890,-183.029565
-154.748489,-178.454549
-152.597257,-173.903826
-150.433084,-169.375371
-148.256861,-164.867160
-146.069479,-160.377167
-143.871828,-155.903370
-141.664798,-151.443744
-139.449281,-146.996263
-137.226168,-142.558905
-134.996348,-138.129645
-132.760712,-133.706458
-130.520151,-129.287319
-128.275556,-124.870206
-126.027817,-120.453093
-123.777824,-116.033956
-121.526459,-111.610808
-119.274326,-107.182638
-117.021737,-102.749487
-114.768986,-98.311447
-112.516370,-93.868609
-110.264186,-89.421065
-108.012729,-84.968907
-105.762294,-80.512226
-103.513179,-76.051114
-101.265678,-71.585663
-99.020088,-67.115964
-96.776706,-62.642110
-94.535826,-58.164192
-92.297745,-53.682301
-90.062759,-49.196530
-87.831164,-44.706970
-85.603255,-40.213713
-83.379330,-35.716851
-81.159683,-31.216475
-78.944611,-26.712678
-76.734410,-22.205550
-74.529375,-17.695183
-72.329803,-13.181670
-70.135990,-8.665102
-67.948231,-4.145571
-65.766823,0.376832
-63.592062,4.902014
-61.424243,9.429885
-59.263663,13.960352
-57.110617,18.493324
-54.965402,23.028708
-52.828314,27.566414
-50.699648,32.106349
-48.579700,36.648422
-46.468767,41.192541
-44.367144,45.738614
-42.275128,50.286549
-40.193049,54.836278
-38.121984,59.388216
-36.063724,63.943238
-34.020086,68.502241
-31.992890,73.066121
-29.983953,77.635772
-27.995094,82.212091
-26.028132,86.795972
-24.084885,91.388312
-22.167172,95.990007
-20.276811,100.601950
-18.415620,105.225039
-16.585418,109.860169
-14.788024,114.508235
-13.025256,119.170133
-11.298933,123.846758
-9.610872,128.539006
-7.962893,133.247773
-6.356814,137.973954
-4.794313,142.718379
-3.274386,147.480649
-1.793620,152.259254
-0.348515,157.052645
1.064430,161.859276
2.448713,166.677596
3.807834,171.506059
5.145293,176.343117
6.464591,181.187220
7.769225,186.036820
9.062697,190.890371
10.348505,195.746322
11.630151,200.603127
12.911132,205.459236
14.194950,210.313103
15.485103,215.163177
16.785091,220.007913
18.098415,224.845760
19.428449,229.675232
20.776412,234.495886
22.141692,239.308170
23.523621,244.112558
24.921530,248.909523
26.334750,253.699541
27.762613,258.483084
29.204449,263.260629
30.659590,268.032648
32.127368,272.799616
33.607112,277.562008
35.098156,282.320297
36.599829,287.074958
38.111463,291.826465
39.632390,296.575293
41.161940,301.321915
42.699444,306.066806
44.244235,310.810440
45.795643,315.553292
47.352999,320.295835
48.915635,325.038544
50.482882,329.781893
52.054070,334.526357
53.628533,339.272409
55.205599,344.020525
56.784602,348.771177
58.364871,353.524841
59.945739,358.281991
61.526536,363.043100
63.106593,367.808644
64.685243,372.579097
66.261816,377.354932
67.835643,382.136624
69.406056,386.924647
70.972385,391.719476
72.533963,396.521584
74.090120,401.331446
75.641231,406.148843
77.202794,410.963494
78.801698,415.757545
80.465112,420.512955
82.220202,425.211681
84.094138,429.835683
86.114086,434.366919
88.307216,438.787348
